(13079742441184578626, 15822063786926281121)
(13416567443684297300, 1953576081095923750)
(4616590709284765790, 12242300051344248099)
(8927700908577296018, 9212645445239734194)
(7046689723092979039, 14605811860901350724)
(11723181797717683420, 4856237318714098520)
(462956565916497673, 11917849788719540909)
(15062759243211353209, 1178676016977386894)
(5006958167746643506, 12231044178199617742)
(17215578442192296916, 7867686081879292369)
(3264652127960099870, 11088704409660527687)
(67438940002497203, 13146678993523844395)
(10567909756016925586, 16545327010848548669)
(15707806635548046505, 14743926144157706447)
(6478276705282625651, 18007098612493695685)
(10970386673164693022, 12683515533170128309)
